recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
4,6,9,445975878,0.5,1,1
7,1,7,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
5,4,6,973,0.5,1,1
6,4,6,821459744,0.5,1,1
10,3,6,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,2,5,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
4,2,7,445975878,0.5,1,1
7,1,7,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
6,3,4,973,0.5,1,1
8,0,5,821459744,0.5,1,1
10,3,6,979655734,0.5,1,1
7,2,5,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,4,3,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
4,3,9,445975878,0.5,1,1
8,1,5,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
3,0,5,821459744,0.5,1,1
6,5,4,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
9,5,0,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
8,1,5,555013701,0.5,1,1
4,1,7,445975878,0.5,1,1
7,0,6,1019038148,0.5,1,1
9,6,2,1991948354,0.5,1,1
4,2,7,973,0.5,1,1
5,1,4,821459744,0.5,1,1
8,1,7,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
5,6,4,80524421,0.5,1,1
6,5,3,688020399,0.5,1,1
8,1,6,555013701,0.5,1,1
6,2,3,445975878,0.5,1,1
7,1,6,1019038148,0.5,1,1
11,3,3,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
3,0,5,821459744,0.5,1,1
6,5,5,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
9,5,0,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
8,1,5,555013701,0.5,1,1
4,1,7,445975878,0.5,1,1
7,1,5,1019038148,0.5,1,1
9,4,2,1991948354,0.5,1,1
4,2,7,973,0.5,1,1
5,1,4,821459744,0.5,1,1
6,1,8,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
5,6,4,80524421,0.5,1,1
6,3,2,688020399,0.5,1,1
6,1,6,555013701,0.5,1,1
5,1,7,445975878,0.5,1,1
7,0,7,1019038148,0.5,1,1
11,4,3,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
3,0,7,821459744,0.5,1,1
6,5,4,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
8,5,2,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
8,1,5,555013701,0.5,1,1
4,1,7,445975878,0.5,1,1
7,0,6,1019038148,0.5,1,1
9,6,2,1991948354,0.5,1,1
5,3,4,973,0.5,1,1
4,1,6,821459744,0.5,1,1
6,1,7,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
5,6,4,80524421,0.5,1,1
5,1,5,688020399,0.5,1,1
6,1,6,555013701,0.5,1,1
5,1,7,445975878,0.5,1,1
6,0,6,1019038148,0.5,1,1
11,3,3,1991948354,0.5,1,1
2,1,7,973,0.5,1,1
8,1,3,821459744,0.5,1,1
6,3,5,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
7,6,4,80524421,0.5,1,1
6,6,4,688020399,0.5,1,1
5,2,6,555013701,0.5,1,1
